name,birthday,nationality
Tony Ramos,1948-08-25,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Antônio Fagundes,1949-04-18,BRAZIL
Cauã Reymond,1980-05-20,BRAZIL
Bruno Campos,1973-12-03,BRAZIL
Lino Facioli,2000-07-29,BRAZIL
Guy Ecker,1959-02-09,BRAZIL
Fábio Assunção,1971-08-10,BRAZIL
Stênio Garcia,1933-04-28,BRAZIL
André Mattos,1961-10-08,BRAZIL
Raul Cortez,1932-08-28,BRAZIL
Armando Babaioff,1981-04-01,BRAZIL
Marco Pigossi,1989-02-01,BRAZIL
Chay Suede,1992-06-30,BRAZIL
Bruno Gagliasso,1982-04-13,BRAZIL
Rafael Cardoso,1985-11-17,BRAZIL
Murilo Benício,1971-07-13,BRAZIL
Reynaldo Gianecchini,1972-11-12,BRAZIL
Thiago Lacerda,1978-01-19,BRAZIL
José Mayer,1949-10-03,BRAZIL
André Gonçalves,1975-11-16,BRAZIL
Luciano Szafir,1968-12-31,BRAZIL
Ângelo Antônio,1964-06-04,BRAZIL
Tom Hanks,1956-07-09,USA
Leonardo DiCaprio,1974-11-11,USA
Brad Pitt,1963-12-18,USA
Johnny Depp,1963-06-09,USA
Denzel Washington,1954-12-28,USA
Morgan Freeman,1937-06-01,USA
Robert De Niro,1943-08-17,USA
Al Pacino,1940-04-25,USA
Matt Damon,1970-10-08,USA
Ben Affleck,1972-08-15,USA
Will Smith,1968-09-25,USA
Chris Evans,1981-06-13,USA
Chris Hemsworth,1983-08-11,USA
Chris Pratt,1979-06-21,USA
Mark Ruffalo,1967-11-22,USA
Samuel L. Jackson,1948-12-21,USA
Jake Gyllenhaal,1980-12-19,USA
Christian Bale,1974-01-30,USA
Matthew McConaughey,1969-11-04,USA
Joaquin Phoenix,1974-10-28,USA
Tom Cruise,1962-07-03,USA
Keanu Reeves,1964-09-02,USA
Ryan Reynolds,1976-10-23,USA
Harrison Ford,1942-07-13,USA
Robert Downey Jr.,1965-04-04,USA
